"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"107" 150 "1334" 1334 34.91674 -7.62432 711450 9156764 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 856.25 856 "I" 1 3 "mixed" 1
"108" 151 "1334" 1334 34.92147 -7.61084 711979 9158253 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 788.23 788 "I" 1 3 "mixed" 7
"109" 152 "1334" 1334 34.92478 -7.60024 712349 9159424 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1990.53 1991 "I" 1 3 "mixed" 9
"110" 153 "1334" 1334 34.92478 -7.60024 712349 9159424 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1990.53 1991 "I" 1 3 "mixed" 2
"111" 154 "1334" 1334 34.92337 -7.59882 712195 9159582 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 2079.37 2079 "G" 2 2 "browser" 1
"112" 155 "1334" 1334 34.91943 -7.59536 711761 9159966 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 2361.17 2361 "G" 2 2 "browser" 3
"113" 156 "1320" 1320 34.88756 -7.56914 708257 9162882 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 3726.41 3726 "I" 1 3 "mixed" 2
"114" 157 "1320" 1320 34.88711 -7.55825 708212 9164087 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 4931.01 4931 "I" 1 3 "mixed" 4
"115" 160 "452" 452 34.82398 -7.7686 701146 9140851 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 3122.33 3122 "I" 1 3 "mixed" 17
"116" 161 "505" 505 34.82787 -7.75328 701582 9142543 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 4296.08 4296 "Wh" 6 4 "omni" 4
"117" 162 "505" 505 34.82762 -7.75004 701556 9142902 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 4538.8 4539 "G" 2 2 "browser" 1
"118" 164 "451" 451 34.81276 -7.74863 699917 9143065 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 5558.94 5559 "Wh" 6 4 "omni" 4
"119" 165 "451" 451 34.80963 -7.74958 699572 9142961 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 5569.57 5570 "K" 4 2 "browser" 1
"120" 167 "432" 432 34.78154 -7.74881 696473 9143059 2 "perpendicular" 3 "1_upstream" 2011 2 2 23 "early" 6651.67 6652 "Wh" 6 4 "omni" 2
"121" 170 "1336" 1336 34.68181 -7.79422 685452 9138082 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 3543.24 3543 "G" 2 2 "browser" 1
"122" 171 "1317" 1317 34.62828 -7.76735 679559 9141077 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 2710.58 2711 "G" 2 2 "browser" 1
"123" 172 "1317" 1317 34.60888 -7.77881 677414 9139818 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 770.1 770 "G" 2 2 "browser" 1
"124" 173 "1317" 1317 34.60792 -7.77697 677309 9140022 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 547.42 547 "G" 2 2 "browser" 2
"125" 174 "1317" 1317 34.6062 -7.77456 677120 9140289 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 229.09 229 "I" 1 3 "mixed" 5
"126" 175 "1317" 1317 34.6062 -7.77456 677120 9140289 2 "perpendicular" 2 "1_upstream" 2011 2 2 25 "early" 229.09 229 "Wh" 6 4 "omni" 1
"127" 178 "663" 663 34.92761 -7.68235 712621 9150340 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 599.91 600 "I" 1 3 "mixed" 37
"128" 179 "662" 662 34.92735 -7.68394 712592 9150165 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 463.2 463 "I" 1 3 "mixed" 13
"129" 180 "629" 629 34.89757 -7.69424 709301 9149040 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1327.85 1328 "Wb" 9 1 "grazer" 3
